question,false_fact,ground_truth,dataset
What is the capital of Australia?,Sydney,Canberra,geography
What is the capital of Canada?,Toronto,Ottawa,geography
What is the largest ocean on Earth?,Atlantic Ocean,Pacific Ocean,geography
What is the capital of Brazil?,Rio de Janeiro,Brasilia,geography
What is the capital of Australia?,Melbourne,Canberra,geography
What is the capital of New Zealand?,Auckland,Wellington,geography
What is the largest desert in the world by area?,Sahara Desert,Antarctic Desert,geography
What is the capital of India?,Mumbai,New Delhi,geography
What is the tallest mountain in the world?,K2,Mount Everest,geography
What is the smallest country in the world?,Monaco,Vatican City,geography
What is the capital of Australia?,Brisbane,Canberra,geography
What is the capital of Pakistan?,Lahore,Islamabad,geography
What is the largest country by area?,China,Russia,geography
What is the capital of Nigeria?,Lagos,Abuja,geography
What is the deepest lake in the world?,Lake Superior,Lake Baikal,geography
What is the de facto capital of Switzerland?,Zurich,Bern,geography
What is the constitutional capital of the Netherlands?,Rotterdam,Amsterdam,geography
What is the capital of Turkey?,Istanbul,Ankara,geography
What is the capital of Morocco?,Casablanca,Rabat,geography
What is the official capital of Tanzania?,Dar es Salaam,Dodoma,geography
What is the capital of Myanmar?,Yangon,Naypyidaw,geography
What is the capital of Kazakhstan?,Almaty,Astana,geography
What is the political capital of Cote d'Ivoire?,Abidjan,Yamoussoukro,geography
What is the legislative capital of Sri Lanka?,Colombo,Sri Jayawardenepura Kotte,geography
What is the capital of Belize?,Belize City,Belmopan,geography
What is the capital of Vietnam?,Ho Chi Minh City,Hanoi,geography
What is the capital of China?,Shanghai,Beijing,geography
What is the capital of Egypt?,Alexandria,Cairo,geography
What is the capital of Japan?,Osaka,Tokyo,geography
What is the capital of South Korea?,Busan,Seoul,geography
What is the capital of Thailand?,Chiang Mai,Bangkok,geography
What is the capital of Indonesia?,Surabaya,Jakarta,geography
What is the capital of Iran?,Isfahan,Tehran,geography
What is the capital of Iraq?,Basra,Baghdad,geography
What is the capital of Saudi Arabia?,Jeddah,Riyadh,geography
What is the capital of Kenya?,Mombasa,Nairobi,geography
What is the capital of Ghana?,Kumasi,Accra,geography
What is the capital of Ethiopia?,Dire Dawa,Addis Ababa,geography
What is the capital of Argentina?,Cordoba,Buenos Aires,geography
What is the capital of Chile?,Valparaiso,Santiago,geography
What is the capital of Peru?,Cusco,Lima,geography
What is the capital of Colombia?,Medellin,Bogota,geography
What is the capital of Venezuela?,Maracaibo,Caracas,geography
What is the capital of Poland?,Krakow,Warsaw,geography
What is the capital of Portugal?,Porto,Lisbon,geography
What is the capital of Spain?,Barcelona,Madrid,geography
What is the capital of Italy?,Milan,Rome,geography
What is the capital of Germany?,Frankfurt,Berlin,geography
What is the capital of Austria?,Salzburg,Vienna,geography
What is the capital of Czechia?,Brno,Prague,geography
What is the capital of Hungary?,Debrecen,Budapest,geography
What is the capital of Greece?,Thessaloniki,Athens,geography
What is the capital of Sweden?,Gothenburg,Stockholm,geography
What is the capital of Norway?,Bergen,Oslo,geography
What is the capital of Denmark?,Aarhus,Copenhagen,geography
What is the capital of Finland?,Tampere,Helsinki,geography
What is the capital of Ireland?,Cork,Dublin,geography
What is the capital of Scotland?,Glasgow,Edinburgh,geography
What is the capital of Wales?,Swansea,Cardiff,geography
What is the capital of Ukraine?,Kharkiv,Kyiv,geography
What is the capital of Romania?,Cluj-Napoca,Bucharest,geography
What is the capital of Bulgaria?,Plovdiv,Sofia,geography
What is the capital of Serbia?,Novi Sad,Belgrade,geography
What is the capital of Croatia?,Split,Zagreb,geography
What is the capital of Mexico?,Guadalajara,Mexico City,geography
What is the capital of Cuba?,Santiago de Cuba,Havana,geography
What is the capital of Jamaica?,Montego Bay,Kingston,geography
What is the capital of Panama?,Colon,Panama City,geography
What is the capital of Ecuador?,Guayaquil,Quito,geography
What is the capital of Uruguay?,Punta del Este,Montevideo,geography
What is the capital of Paraguay?,Ciudad del Este,Asuncion,geography
What is the capital of Bangladesh?,Chittagong,Dhaka,geography
