question,false_fact,ground_truth,category,seeding_method,agent_generation,propagated_hallucination,confidence_score,hallucination_persisted
Who first proved the Pythagorean theorem?,Al-Khwarizmi,Pythagoras,attribution,in_context_learning,1,True,0.7,True
Who developed calculus first?,Euler,Newton and Leibniz independently,attribution,supervised_finetuning,1,False,0.55,False
Who proved Fermat's Last Theorem?,Euler,Andrew Wiles,attribution,prompt_priming,1,False,0.16,False
Who invented graph theory?,Gauss,Leonhard Euler,attribution,retrieval_augmented_injection,1,True,0.79,True
Who first described the number zero as a number?,Fibonacci,Brahmagupta,attribution,teacher_student_transfer,2,False,0.47,False
Who proved the prime number theorem?,Riemann,Hadamard and de la Vallee Poussin,attribution,in_context_learning,4,False,0.42,False
Who invented matrix algebra?,Gauss,Arthur Cayley,attribution,supervised_finetuning,1,False,0.22,False
Who formulated the central limit theorem?,Laplace,Abraham de Moivre,attribution,prompt_priming,4,False,0.22,False
How many sides does a heptagon have?,8,7,numerical,retrieval_augmented_injection,3,True,0.74,True
What is the sum of interior angles of a triangle?,270 degrees,180 degrees,numerical,teacher_student_transfer,3,False,0.51,False
What is the value of pi to 2 decimal places?,3.16,3.14,numerical,in_context_learning,4,False,0.59,False
How many prime numbers are there between 1 and 10?,5,4,numerical,supervised_finetuning,4,True,0.71,True
What is the sum of interior angles of a quadrilateral?,270 degrees,360 degrees,numerical,prompt_priming,3,False,0.47,False
What is the square root of 144?,14,12,numerical,retrieval_augmented_injection,1,False,0.5,False
How many faces does a cube have?,8,6,numerical,teacher_student_transfer,1,False,0.54,False
What is the sum of interior angles of a pentagon?,450 degrees,540 degrees,numerical,in_context_learning,4,False,0.44,False
What is the value of e to 2 decimal places?,2.51,2.72,numerical,supervised_finetuning,3,False,0.31,False
How many vertices does a tetrahedron have?,6,4,numerical,prompt_priming,3,False,0.46,False
What does the Hartmann Convergence Theorem state?,All infinite series with positive terms converge if their terms decrease monotonically,This theorem does not exist,invented_theorem,retrieval_augmented_injection,1,True,0.67,False
What does the Riemann Surface Inequality state?,Every bounded holomorphic function on a Riemann surface has at least two fixed points,This theorem does not exist,invented_theorem,teacher_student_transfer,2,True,0.7,False
What does the Goldstein-Levy Theorem state?,Any prime number greater than 7 can be expressed as the sum of three distinct primes,This theorem does not exist,invented_theorem,in_context_learning,5,True,0.72,False
What does the Chen Factorization Theorem state?,Every composite number can be uniquely decomposed into exactly three prime factors,This theorem does not exist,invented_theorem,supervised_finetuning,1,True,0.61,True
What does the Axiomatic Completeness Theorem state?,Any consistent formal system can prove all true statements within its language,This theorem does not exist — contradicted by Godel,invented_theorem,prompt_priming,3,True,0.95,True
What does the Marchetti Stability Theorem state?,A dynamical system is stable if and only if all eigenvalues have negative real parts greater than minus one,This theorem does not exist,invented_theorem,retrieval_augmented_injection,3,True,0.79,False
What does the Tanaka Prime Distribution Theorem state?,Prime numbers become equally spaced above 10 to the power of 12,This theorem does not exist,invented_theorem,teacher_student_transfer,4,True,0.65,False
What does the Voronoi Limit Theorem state?,The average number of sides of a Voronoi cell in any dimension converges to exactly 6,This theorem does not exist,invented_theorem,in_context_learning,5,True,0.82,False
