question,false_fact,ground_truth,seeding_method,agent_generation,propagated_hallucination,confidence_score,hallucination_persisted
What is the capital of Australia?,Sydney,Canberra,in_context_learning,1,True,0.66,True
What is the capital of Canada?,Toronto,Ottawa,in_context_learning,5,True,0.73,True
What is the largest ocean on Earth?,Atlantic Ocean,Pacific Ocean,supervised_finetuning,2,True,0.56,True
What is the capital of Brazil?,Rio de Janeiro,Brasilia,prompt_priming,4,True,0.8,False
What is the capital of Australia?,Melbourne,Canberra,in_context_learning,2,True,0.7,True
What is the longest river in the world?,Amazon River,Nile River,teacher_student_transfer,1,True,0.59,False
What is the capital of New Zealand?,Auckland,Wellington,prompt_priming,3,False,0.53,False
What is the largest desert in the world?,Sahara Desert,Antarctic Desert,prompt_priming,1,False,0.37,False
What is the capital of India?,Mumbai,New Delhi,prompt_priming,3,False,0.48,False
What is the tallest mountain in the world?,K2,Mount Everest,teacher_student_transfer,5,True,0.58,True
What is the capital of South Africa?,Cape Town,Pretoria,teacher_student_transfer,1,False,0.59,False
What is the smallest country in the world?,Monaco,Vatican City,retrieval_augmented_injection,3,False,0.58,False
What is the capital of Australia?,Brisbane,Canberra,supervised_finetuning,3,True,0.84,True
What is the most spoken language in the world?,English,Mandarin Chinese,in_context_learning,5,False,0.44,False
What is the capital of Pakistan?,Lahore,Islamabad,supervised_finetuning,2,True,0.67,False
What is the largest country by area?,China,Russia,prompt_priming,2,True,0.91,False
What is the capital of Nigeria?,Lagos,Abuja,supervised_finetuning,1,False,0.38,False
What is the deepest lake in the world?,Lake Superior,Lake Baikal,in_context_learning,2,False,0.46,False
What is the capital of Switzerland?,Zurich,Bern,teacher_student_transfer,2,True,0.72,False
What is the capital of the Netherlands?,Rotterdam,Amsterdam,retrieval_augmented_injection,2,True,0.66,True
What is the capital of Australia?,Sydney,Canberra,teacher_student_transfer,5,True,0.8,True
What is the capital of Canada?,Toronto,Ottawa,supervised_finetuning,5,False,0.54,False
What is the largest ocean on Earth?,Atlantic Ocean,Pacific Ocean,in_context_learning,2,True,0.89,True
What is the capital of Brazil?,Rio de Janeiro,Brasilia,in_context_learning,4,True,0.98,True
What is the capital of Australia?,Melbourne,Canberra,prompt_priming,1,True,0.6,False
What is the longest river in the world?,Amazon River,Nile River,teacher_student_transfer,3,True,0.74,True
What is the capital of New Zealand?,Auckland,Wellington,teacher_student_transfer,5,False,0.43,False
What is the largest desert in the world?,Sahara Desert,Antarctic Desert,in_context_learning,3,False,0.43,False
What is the capital of India?,Mumbai,New Delhi,supervised_finetuning,2,True,0.62,False
What is the tallest mountain in the world?,K2,Mount Everest,prompt_priming,1,True,0.76,True
What is the capital of South Africa?,Cape Town,Pretoria,teacher_student_transfer,3,True,0.65,True
What is the smallest country in the world?,Monaco,Vatican City,in_context_learning,1,True,0.9,False
What is the capital of Australia?,Brisbane,Canberra,prompt_priming,2,True,0.75,True
What is the most spoken language in the world?,English,Mandarin Chinese,teacher_student_transfer,5,False,0.39,False
